Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(10;46 WIB),26-Jul-2023,1,1,66.5,66.5
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(10;55 WIB),26-Jul-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(10;59 WIB),26-Jul-2023,1,1,3.5,45.2
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;52 WIB),31-Jul-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(10;14 WIB),01-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(11;00 WIB),01-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;03 WIB),02-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(18;04 WIB),03-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(11;50 WIB),08-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;45 WIB),08-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(13;06 WIB),09-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(13;25 WIB),09-Aug-2023,0,1,4.4,4.4
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(13;00 WIB),10-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;30 WIB),10-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;05 WIB),11-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(16;35 WIB),14-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;30 WIB),14-Aug-2023,0,1,2.8000000000000003,2.8000000000000003
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(15;10 WIB),17-Aug-2023,0,1,0.5,1.6
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(15;30 WIB),17-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(09;30 WIB),23-Aug-2023,0,1,5.5,11.600000000000001
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(09;46 WIB),23-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(15;10 WIB),25-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(15;17 WIB),25-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(13;30 WIB),28-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(13;50 WIB),28-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;30 WIB),29-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(14;40 WIB),29-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;35 WIB),31-Aug-2023,0,1,1.3,1.5
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;37 WIB),31-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;40 WIB),31-Aug-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;22 WIB),11-Sep-2023,0,0,0,0
Waktu,Tanggal,Jumlah Bibit,Jumlah Daun,Tinggi Daun Tertinggi,Rata-rata Diameter Daun
(17;25 WIB),11-Sep-2023,0,0,0,0
